id,name,badge,primary_colour,secondary_colour
1,Arsenal,https://cdn.freebiesupply.com/logos/large/2x/arsenal-logo-png-transparent.png,#EF0107,#FFFFFF
2,Aston Villa,https://1000logos.net/wp-content/uploads/2022/05/Aston-Villa-Logo-2016.png,#670E36,#95BFE5
3,Barnsley,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Barnsley_FC.svg/1200px-Barnsley_FC.svg.png,#D71921,#000000
4,Birmingham City,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Birmingham_City_FC_logo.svg/1200px-Birmingham_City_FC_logo.svg.png,#0000FF,#FFFFFF
5,Blackburn Rovers,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Blackburn_Rovers.svg/1200px-Blackburn_Rovers.svg.png,#009EE0,#FFFFFF
6,Blackpool,https://upload.wikimedia.org/wikipedia/en/thumb/d/df/Blackpool_FC_logo.svg/1200px-Blackpool_FC_logo.svg.png,#F68712,#000000
7,Bolton Wanderers,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Bolton_Wanderers_FC_logo.svg/1200px-Bolton_Wanderers_FC_logo.svg.png,#FFFFFF,#00194A
8,Bournemouth,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/AFC_Bournemouth_%282013%29.svg/1200px-AFC_Bournemouth_%282013%29.svg.png,#DA291C,#000000
9,Bradford City,https://i.pinimg.com/originals/61/e6/b0/61e6b06277214ad2bd43b30ee32453b7.png,#fbb800,#D11524
10,Brentford,https://upload.wikimedia.org/wikipedia/it/2/2e/Brentford_FC_logo.png,#fbb800,#000000
11,Brighton & Hove Albion,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Brighton_%26_Hove_Albion_logo.svg/1200px-Brighton_%26_Hove_Albion_logo.svg.png,#0057B8,#FFFFFF
12,Burnley,https://1000logos.net/wp-content/uploads/2018/06/Burnley-logo.png,#6C1D45,#99D6EA
13,Cardiff City,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Cardiff_City_crest.svg/1200px-Cardiff_City_crest.svg.png,#0070B5,#D11524
14,Charlton Athletic,https://upload.wikimedia.org/wikipedia/commons/6/6a/CharltonBadge_30Jan2020.png,#d4021d,#ffffff
15,Chelsea,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/1200px-Chelsea_FC.svg.png,#034694,#ffffff
16,Coventry City,https://upload.wikimedia.org/wikipedia/en/1/1a/Coventry_City_F.C._logo.png,#059DD9,#FFFFFF
17,Crystal Palace,https://upload.wikimedia.org/wikipedia/en/a/a2/Crystal_Palace_FC_logo_%282022%29.svg,#1B458F,#C4122E
18,Derby County,https://i0.wp.com/worldsoccerpins.com/wp-content/uploads/2020/04/Derby-County-FC-2009-2020-1.png?resize=200%2C200&ssl=1,#FFFFFF,#000000
19,Everton,https://upload.wikimedia.org/wikipedia/en/7/7c/Everton_FC_logo.svg,#003399,#FFFFFF
20,Fulham,https://upload.wikimedia.org/wikipedia/en/e/eb/Fulham_FC_%28shield%29.svg,#FFFFFF,#000000
21,Huddersfield Town,https://upload.wikimedia.org/wikipedia/en/7/7d/Huddersfield_Town_A.F.C._logo.png,#0E63AD,#FFFFFF
22,Hull City,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Hull_City_A.F.C._logo.svg/800px-Hull_City_A.F.C._logo.svg.png,#F18A01,#000000
23,Ipswich Town,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Ipswich_Town.svg/1200px-Ipswich_Town.svg.png,#003399,#FFFFFF
24,Leeds United,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Leeds_United_F.C._logo.svg/170px-Leeds_United_F.C._logo.svg.png,#FFFFFF,#1D428A
25,Leicester City,https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Leicester_City_crest.svg/1200px-Leicester_City_crest.svg.png,#003090,#FFFFFF
26,Liverpool,https://upload.wikimedia.org/wikipedia/en/0/0c/Liverpool_FC.svg,#C8102E,#FFFFFF
27,Luton Town,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/301.png,#F78F1E,#002D62
28,Manchester City,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Manchester_City_FC_badge.svg/1200px-Manchester_City_FC_badge.svg.png,#6CABDD,#FFFFFF
29,Manchester United,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Manchester_United_FC_crest.svg/1200px-Manchester_United_FC_crest.svg.png,#DA291C,#FFFFFF
30,Middlesbrough,https://cdn.freebiesupply.com/logos/large/2x/middlesbrough-fc-logo-png-transparent.png,#E21A23,#000000
31,Newcastle United,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Newcastle_United_Logo.svg/1200px-Newcastle_United_Logo.svg.png,#000000,#FFFFFF
32,Norwich City,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/Norwich_City_FC_logo.svg/640px-Norwich_City_FC_logo.svg.png,#FFF200,#00A650
33,Nottingham Forest,https://upload.wikimedia.org/wikipedia/sco/thumb/d/d2/Nottingham_Forest_logo.svg/1200px-Nottingham_Forest_logo.svg.png,#DD0000,#FFFFFF
34,Oldham Athletic,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Oldham_Athletic_AFC_%28emblem%29.svg/800px-Oldham_Athletic_AFC_%28emblem%29.svg.png,#1D5BA4,#FFFFFF
35,Portsmouth,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/Portsmouth_FC_logo.svg/1200px-Portsmouth_FC_logo.svg.png,#004494,#FFFFFF
36,Queens Park Rangers,https://upload.wikimedia.org/wikipedia/en/3/31/Queens_Park_Rangers_crest.svg,#1D5BA4,#FFFFFF
37,Reading,https://upload.wikimedia.org/wikipedia/en/1/11/Reading_FC.svg,#004494,#FFFFFF
38,Sheffield United,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Sheffield_United_FC_logo.svg/1200px-Sheffield_United_FC_logo.svg.png,#EE2737,#FFFFFF
39,Sheffield Wednesday,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Sheffield_Wednesday_badge.svg/1200px-Sheffield_Wednesday_badge.svg.png,#0067B4,#FFFFFF
40,Southampton,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/FC_Southampton.svg/1200px-FC_Southampton.svg.png,D71920,#FFFFFF
41,Stoke City,https://upload.wikimedia.org/wikipedia/en/2/29/Stoke_City_FC.svg,#E03A3E,#FFFFFF
42,Sunderland,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Logo_Sunderland.svg/1200px-Logo_Sunderland.svg.png,#DD0000,#FFFFFF
43,Swansea City,https://i2-prod.walesonline.co.uk/incoming/article24182057.ece/ALTERNATES/s1200c/0_Swansea-City-22-23-Badge-Blue.png,#FFFFFF,#000000
44,Swindon Town,https://upload.wikimedia.org/wikipedia/en/a/a3/Swindon_Town_FC.svg,#dc161b,#ffffff
45,Tottenham Hotspur,https://www.toptacular.co.uk/wp-content/uploads/2019/09/Tottenham-Badge-200mm-Wafer-Cake.png,#FFFFFF,#132257
46,Watford,https://upload.wikimedia.org/wikipedia/en/e/e2/Watford.svg,FBEE23,#11210C
