id,name,dob,position,initials,nation
1,Aaron Cresswell,1989/12/15,LB,AC,England
2,Aaron Lennon,1987/04/16,MF,AL,England
3,Aaron Mooy,1990/09/15,MF,AM,Australia
4,Aaron Ramsey,1990/12/26,MF,AR,Wales
5,Aaron Rowe,2000/09/07,ST,AR,England
6,Aaron Wan-Bissaka,1997/11/26,MF,AW,England
7,Abdelhamid Sabiri,1996/11/28,MF,AS,Morocco
8,Abdoulaye Doucouré,1993/01/01,MF,AD,France
9,Aboubakar Kamara,1995/03/07,ST,AK,France
10,Adalberto Peñaranda Maestre,1997/05/31,ST,APM,Venezuela
11,Adam Lallana,1988/05/10,MF,AL,England
12,Adam Masina,1994/01/02,LB,AM,Italy
13,Adam Smith,1991/04/29,RB,AS,England
14,Adama Diakhaby,1996/07/05,ST,AD,France
15,Adama Traoré,1996/01/25,MF,AT,Spain
16,Ademola Lookman,1997/10/20,ST,AL,England
17,Adrián,1987/01/03,GK,A,Spain
18,Adrian Mariappa,1986/10/03,CB,AM,Jamaica
19,Adrien Sebastian Perruchet Silva,1989/03/15,MF,ASP,Portugal
20,Ainsley Maitland-Niles,1997/08/29,MF,AM,England
21,Alberto Moreno,1992/07/05,LB,AM,Spain
22,Aleksandar Mitrović,1994/09/16,ST,AM,Serbia
23,Alex Iwobi,1996/05/03,ST,AI,Nigeria
24,Alex McCarthy,1989/12/03,GK,AM,England
25,Alex Oxlade-Chamberlain,1993/08/15,MF,AO,England
26,Alex Pritchard,1993/05/03,MF,AP,England
27,Alex Smithies,1990/03/05,GK,AS,England
28,Alexander Sørloth,1995/12/05,ST,AS,Norway
29,Alexandre Lacazette,1991/05/28,ST,AL,France
30,Alexandre Nascimento Costa Silva,1997/03/16,ST,ANC,Portugal
31,Alexis Sanchez,1988/12/19,ST,AS,Chile
32,Alfie Jones,1997/10/07,DF,AJ,England
33,Alfie Mawson,1994/01/19,CB,AM,England
34,Alfie Whiteman,1998/10/02,GK,AW,England
35,Ali Koiki,2000/08/22,Defender,AK,England
36,Alireza Jahanbakhsh,1993/08/11,ST,AJ,Iran
37,Alisson Becker,1992/10/02,GK,AB,Brazil
38,Alvaro Morata,1992/10/23,ST,AM,Spain
39,Ander Herrera,1989/08/14,MF,AH,Spain
40,André Gomes,1993/07/30,MF,AG,Portugal
41,Andre Gray,1991/06/26,ST,AG,England
42,André Schürrle,1990/11/06,MF,AS,Germany
43,André-Frank Zambo Anguissa,1995/11/16,MF,AZA,Cameroon
44,Andreas Christensen,1996/04/10,CB,AC,Denmark
45,Andreas Pereira,1996/01/01,MF,AP,Brazil
46,Andrew Robertson,1994/03/11,LB,AR,Scotland
47,Andrew Surman,1986/08/20,MF,AS,England
48,Andriy Yarmolenko,1989/10/23,ST,AY,Ukraine
49,Andros Townsend,1991/07/16,MF,AT,England
50,Andy Carroll,1989/01/06,ST,AC,England
51,Angel Gomes,2000/08/31,MF,AG,England
52,Angelo Ogbonna,1988/05/23,CB,AO,Italy
53,Angus Gunn,1996/01/22,GK,AG,England
54,Anthony Driscoll-Glennon,1999/11/26,Defender,AD,England
55,Anthony Knockaert,1991/11/20,MF,AK,France
56,Anthony Martial,1995/12/05,ST,AM,France
57,Antonio Barreca,1995/03/18,Defender,AB,Italy
58,Antonio Rüdiger,1993/03/03,CB,AR,Germany
59,Antonio Valencia,1985/08/04,RB/RM,AV,Ecuador
60,Arijanet Muric,1998/11/07,GK,AM,Montenegro
61,Aron Einar Gunnarsson,1989/04/22,MF,AEG,Iceland
62,Arthur Masuaku,1993/11/07,LB,AM,France
63,Artur Boruc,1980/02/20,GK,AB,Poland
64,Ashley Barnes,1989/10/30,ST,AB,England
65,Ashley Westwood,1990/04/01,MF,AW,England
66,Ashley Young,1985/07/09,MF,AY,England
67,Asmir Begović,1987/06/20,GK,AB,Bosnia and Herzegovina
68,Aymeric Laporte,1994/05/27,CB,AL,France
69,Ayoze Perez,1993/07/29,ST,AP,Spain
70,Bakary Sako,1988/04/26,MF,BS,Mali
71,Ben Chilwell,1996/12/21,LB,BC,England
